Club,Handle,Country,Region,League,Followers,(as of),Tweeted at…,Expressed some interest?,Address,Latitude,Longitude,,
Lilleshall CC,@LilleshallCC,UK,Shropshire,,1871,2/25/2022,2/25/2022,,,,,,
Llandudno CC,@Llandudno_CC,UK,North Wales,NW Mens Premier League,544,2/25/2022,2/25/2022,,,,,,
Narborough & Littlethorpe CC,@NLCC___,UK,Leicestershire,L&RCL,681,2/25/2022,2/25/2022,,LE19 2AZ,52.57899,-1.19569,,
Wedgwood CC,@WedgwoodCC1,UK,Staffordshire,NSSCCL… S&DCL,1686,2/25/2022,2/25/2022,,,,,,
Cosby CC,@cosbycricket,UK,Leicestershire,L&RCL,501,2/25/2022,2/25/2022,,LE9 1RN,52.55041,-1.19529,,
Milford Hall CC,@milfordhallcc,UK,Staffordshire,,1620,2/25/2022,2/25/2022,,,,,,
Excelsior 20,@excelsior20,Netherlands,,,1769,2/28/2022,2/28/2022,,,,,,
HBS Crayenhout,@hbscraeyenhout,Netherlands,,,2937,2/28/2022,2/28/2022,,,,,,
HBS Crayenhout,@HBScricket,Netherlands,,,1300,,,,,,,,
Burslem CC,@burslem_cc,UK,Staffordshire,,2437,2/28/2022,2/28/2022,,,,,,
North Canberra Gungahlin CC,@NCGCC,Australia,,,881,2/28/2022,no need to tag the Aussies(!),,,,,,
Whitchurch CC,@WhitchurchBucks,UK,Buckinghamshire,Mid Bucks Cricket League,1009,2/28/2022,2/28/2022,,,,,,
Littlehampton CC,@LittlehamptonCC,UK,Sussex,,3019,2/28/2022,2/28/2022,,,,,,
Irby CC,@IrbyCC,UK,Cheshire,,2571,2/28/2022,2/28/2022,,,,,,
Rainford CC,@RainfordCC,UK,Cheshire,,2261,2/28/2022,2/28/2022,,,,,,
Friarmere CC,@FriarmereCC,UK,Lancashire,,458,2/28/2022,2/28/2022,,,,,,
Delph & Dobcross CC,@delphcricket,UK,Lancashire,Huddersfield Cricket League,3677,2/28/2022,2/28/2022,,OL3 5EG,53.56499,-2.018,,
Bagenalstown CC,@BagCC,Ireland,,,638,2/28/2022,2/28/2022,yes,,,,,
Moseley Ashfield CC,@MoseleyAshfield,UK,Birmingham,,1294,2/28/2022,2/28/2022,,,,,,
British Police CC,@britishpolicecc,UK,,,1914,2/28/2022,2/28/2022,,,,,,
Hampset CC,@HampsetCC,UK,Somerset,,960,2/28/2022,2/28/2022,,,,,,
Bedford CC,@BedfordCC_,UK,Bedfordshire,Bedfordshire County Cricket League... NCL... BMCL,913,2/28/2022,2/28/2022,,MK41 0AN,52.14567,-0.42947,,
Winchmore Hill CC,@WinchmoreHillCC,UK,London,Chilterns League,2956,2/28/2022,2/28/2022,,,,,,
Alnwick CC,@AlnwickCC,UK,Northumberland,,1991,2/28/2022,2/28/2022,,,,,,
Ynysygerwn CC,@YCCSocialevents,UK,,,1429,2/28/2022,2/28/2022,,,,,,
Cound CC,@CoundCC,UK,Shropshire,,1727,2/28/2022,2/28/2022,,,,,,
Knockin & Kinnerley CC,@knockkincc,UK,Shropshire,,2368,2/28/2022,2/28/2022,,,,,,
Quatt CC,@QuattCC,UK,Shropshire,Shropshire Premier League,5353,2/28/2022,2/28/2022,,,,,,
Dafen Welfare CC,@DafenWelfareCC,UK,South Wales,SWCA,2893,2/28/2022,2/28/2022,,,,,,
Cambridge University CC,@bluescricket,UK,Cambridgeshire,BUCS League... social otherwise,1268,2/28/2022,2/28/2022,,CB1 2EL,52.20151,0.13224,,
Fleetwood Hesketh CC,@fhcricketclub,UK,Lancashire,,4016,3/1/2022,3/1/2022,,,,,,
Elmstead CC,@ElmsteadCC,UK,Essex,Marshall Hatchick Two Counties Cricket Championship,635,3/1/2022,3/1/2022,,CO7 7AA,51.88047,0.99622,,
Odiham & Greywell CC,@OdihamCricket,UK,,Hants CL,2835,3/1/2022,3/1/2022,,,,,,
Barrow Town CC,@BarrowTownCC,UK,Leicestershire,L&RCL… GMCA,536,3/1/2022,3/1/2022,,LE12 8JA,52.76254,-1.14002,,
Oakham CC,@OakhamCricket,UK,Rutland,Rutland Cricket League... L&RCL,2414,3/1/2022,3/1/2022,,LE15 6HH,52.66743,-0.72823,,
Creigiau CC,@CreigiauCC,UK,South Wales,,1162,3/1/2022,3/1/2022,,,,,,
Pocklington CC,@PocklingtonCC,UK,Yorkshire,YDSCL… York Vale…,848,3/1/2022,3/1/2022,,,,,,
Camberley CC,@CamberleyCC,UK,Surrey,,1922,3/1/2022,3/1/2022,,,,,,
Tewkesbury CC,@Tewkesbury_CC,UK,Gloucestershire,,1817,3/1/2022,3/1/2022,,,,,,
Mayfield CC,@MayfieldClub,UK,Yorkshire,Dales Council Cricket League,1303,3/1/2022,3/1/2022,,BD14 6JW,53.77894,-1.81564,,
Ingatestone & Fryerning CC,@IngatestoneCC,UK,Essex,T Rippon Mid Essex Cricket League,1657,3/1/2022,3/1/2022,,CM4 0BS,51.66939,0.38532,,
Barkby United CC,@BarkbyUnitedCC,UK,Leicestershire,L&RCL… Burrough Evening League… GMCA,1178,3/1/2022,3/1/2022,,LE7 3QB,52.68033,-1.0576,,
Benfleet CC,@BenfleetCC,UK,Essex,Hamro Foundation Essex League… Warsop Sunday League,1467,3/1/2022,3/1/2022,,SS7 4PA,51.57631,0.56185,,
Rettendon CC,@rettendonrats,UK,Essex,T Rippon Mid Essex Cricket League,219,3/1/2022,3/1/2022,,CM3 8DP,51.63681,0.55744,,
Superstars CC,@SuperstarsCC,UK,London,non-league,214,3/1/2022,3/1/2022,,,,,,
Marsden CC,@CuckoosCricket,UK,Yorkshire,Huddersfield Cricket League,1763,3/1/2022,3/1/2022,,HD7 6NN,53.594,-1.9359,,
Swansea CC,@SwanseaCricket,UK,South Wales,SWPCL,2551,3/1/2022,3/1/2022,,,,,,
Aston Hall CC,@AHCCsheff,UK,Yorkshire,YCSPL… Bassetlaw & District Cricket League… MDCL,1576,3/1/2022,3/1/2022,,S26 2BD,53.36276,-1.29394,,
Gorseinon CC,@GorseinonCC,UK,South Wales,SWPCL… SWCA,2603,3/1/2022,3/1/2022,,,,,,
Basildon & Pitsea CC,@BandPCC,UK,Essex,T Rippon Mid Essex Cricket League,954,3/2/2022,3/2/2022,,SS14 1PF,51.57273,0.48723,,
Pontblyddyn CC,@PontblyddynCC,UK,North Wales,North Wales First Division,1461,3/2/2022,3/2/2022,,,,,,
Hermes DVS,@Hermesdvs,Netherlands,,,1152,3/2/2022,3/2/2022,,,,,,
Coimbra Knights CC,@CoimbraKnights,Portugal,,,496,3/2/2022,3/2/2022,,,,,,
Long Sutton CC,@LongSuttonCC,UK,Lincolnshire,Rutland Cricket League... South Lincs & Border League,1800,3/2/2022,3/2/2022,,PE12 9DJ,52.78696,0.12755,,
Brymbo CC,@brymbo_cricket,UK,North Wales,North Wales Premier League,848,3/2/2022,3/2/2022,,,,,,
Cornwall Cricket Board,@CornwallCricket,UK,Cornwall,,5021,3/2/2022,3/2/2022,,,,,,
North Middlesex CC,@Northmidd,UK,Middlesex,,1827,3/2/2022,3/2/2022,,,,,,
Hightown St Mary's CC,@HightownStMarys,UK,Liverpool,,2670,3/2/2022,3/2/2022,,,,,,
Hightown St Mary's CC Women,@HT_Hurricanes,UK,Liverpool,,933,3/2/2022,didn't bother because we tagged the main club account,,,,,,
Cheltenham Civil Service CC,@CCSCricket,UK,Gloucestershire,,813,3/2/2022,3/2/2022,,,,,,
Gala CC,@Gala_Cricket,UK,Scottish border,ESCA Cricket League,1392,3/2/2022,3/2/2022,,,,,,
Haydock CC,@HaydockCC,UK,,,1114,3/2/2022,3/2/2022,,,,,,
Murrayfield DAFS CC,@MDAFS,UK,Scotland,ESCA Cricket League,1157,3/2/2022,3/2/2022,,,,,,
Kampong CC,@KampongCC,Netherlands,,,833,3/2/2022,3/2/2022,,,,,,
Moulton Harrox CC,@MoultonHarroxCC,UK,Lincolnshire,South Lincs & Border League... Rutland Cricket League,1047,3/2/2022,3/2/2022,,PE12 6PN,52.79646,-0.0662,,
Folkton & Flixton CC,@FandFCC,UK,Yorkshire,,735,3/2/2022,3/2/2022,,,,,,
Befordshire CCC,@BedfordshireCCC,UK,Bedfordshire,,1239,3/2/2022,3/2/2022,,,,,,
Cheshire CCC,@CheshireCCC,UK,Cheshire,,2679,3/2/2022,3/2/2022,,,,,,
Northwood CC,@NorthwoodCC1878,UK,Hertfordshire,Herts League,427,3/2/2022,3/2/2022,,HA6 2NP,51.6145,-0.44007,,
Abergavenny CC,@AbergavennyCC,UK,South Wales,SEWCL,2382,3/2/2022,3/2/2022,,,,,,
Toft CC,@ToftCC,UK,,,2359,3/3/2022,3/3/2022,,,,,,
Stevenage CC,@Stevenage_CC,UK,Hertfordshire,Herts League… North Herts Cricket League,3405,3/3/2022,3/3/2022,,SG1 3LJ,51.90581,-0.20656,,
Wickford CC,@WickfordCC,UK,Essex,Hamro Foundation Essex League… Warsop Sunday League,869,3/3/2022,3/3/2022,,SS11 7DL,51.61542,0.52293,,
Olney Town CC,@olney_cc,UK,Bedfordshire,FCCL... Bedfordshire County Cricket League,298,3/3/2022,3/3/2022,,MK46 4DH,52.15622,-0.70057,,
Binfield CC,@Binfield_CC,UK,Berkshire,TVCL,2191,3/3/2022,3/3/2022,,,,,,
York CC,@York_C_C,UK,Yorkshire,Yorkshire Premier League North,2651,3/3/2022,3/3/2022,,,,,,
Upminster CC,@UpminsterCC,UK,Essex,Hamro Foundation Essex League,1950,3/3/2022,3/3/2022,,RM14 2BB,51.55572,0.24806,,
Perth Doo'cot CC,@PerthDoocotCC,UK,Scotland,,803,3/3/2022,3/3/2022,,,,,,
Finchampstead CC,@FinchCCOfficial,UK,Berkshire,HCPCL… TVCL,1984,3/3/2022,3/3/2022,,RG40 4JU,51.36209,-0.86388,,
Dorchester CC,@Dorchycricket,UK,Dorset,,663,3/3/2022,3/3/2022,,,,,,
Hollingworth CC,@hollingworth_cc,UK,Derbyshire / Cheshire,Derbyshire & Cheshire Cricket League,1895,3/3/2022,3/3/2022,,,,,,
Yarm CC,@YarmCC,UK,Teeside,,2687,3/3/2022,3/3/2022,,,,,,
Ordsall Bridon CC,@OrdsallBridonCC,UK,Nottinghamshire,Bassetlaw & District Cricket League… Nottinghamshire Premier League,2217,3/3/2022,3/3/2022,,DN22 7HN,53.3123,-0.94608,,
Darjeeling CC,@DarjeelingCC,UAE,,,1891,3/3/2022,3/3/2022,yes,,,,,
